recordid,nriptr,stratum,cluster,xfact,fips,hydro,mhydro,mlra,bailey,split,impute,impute87,wifact,wcfact,urfact,ukfact,usleflag,s5id,s5name,surftxt,txtmod,loslope,hislope,flood,ophase,tfact
37001020061,250089,37001,2,17,37001,03030002,0303,136,231A,,0,0,56,0,230,0.28,0,NC0058,HELENA,CL,NON,6,10,NONE,SEV ER,3
37001020062,249902,37001,2,18,37001,03030002,0303,136,231A,,0,0,86,0,230,0.24,0,NC0052,WEHADKEE,FSL,NON,0,2,OCCAS,UNDRAINED,5
37001030001,274352,37001,3,1,37001,03030002,0303,136,231A,,1,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,2,6,NONE,ERODED,5
37001030002,215428,37001,3,1,37001,03030002,0303,136,231A,,1,0,180,0,230,0.10,0,FL0051,LEON,S,NON,0,3,NONE,0,5
37001030003,214095,37001,3,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0035,URBAN LAND,VAR,NON,6,10,NONE,0,0
37001030004,274352,37001,3,22,37001,03030002,0303,136,231A,,0,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,2,6,NONE,ERODED,5
37001030005,274352,37001,3,24,37001,03030002,0303,136,231A,,0,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,2,6,NONE,ERODED,5
37001030006,274171,37001,3,7,37001,03030002,0303,136,231A,,0,0,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,2,6,NONE,ERODED,4
37001030007,249437,37001,3,17,37001,03030002,0303,136,231A,,0,2,56,0,230,0.32,0,NC0030,ENON,L,NON,10,15,NONE,0,3
37001030008,274166,37001,3,16,37001,03030002,0303,136,231A,,0,2,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,10,15,NONE,ERODED,4
37001030009,288554,37001,3,17,37001,03030002,0303,136,231A,,0,2,56,0,230,0.28,0,VA0046,ORANGE,SIL,NON,6,10,NONE,0,3
37001030010,274171,37001,3,1,37001,03030002,0303,136,231A,,1,2,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,2,6,NONE,ERODED,4
37001030011,288554,37001,3,17,37001,03030002,0303,136,231A,,0,2,56,0,230,0.28,0,VA0046,ORANGE,SIL,NON,6,10,NONE,0,3
37001030012,288551,37001,3,15,37001,03030002,0303,136,231A,,0,2,56,0,230,0.28,0,VA0046,ORANGE,SIL,NON,2,6,NONE,0,3
37001030013,288554,37001,3,17,37001,03030002,0303,136,231A,,0,2,56,0,230,0.28,0,VA0046,ORANGE,SIL,NON,6,10,NONE,0,3
37001030014,274171,37001,3,2,37001,03030002,0303,136,231A,,1,2,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,2,6,NONE,ERODED,4
37001030015,214095,37001,3,1,37001,03030002,0303,136,231A,,1,2,0,0,230,0.00,0,DC0035,URBAN LAND,VAR,NON,6,10,NONE,0,0
37001030016,288554,37001,3,1,37001,03030002,0303,136,231A,,1,2,56,0,230,0.28,0,VA0046,ORANGE,SIL,NON,6,10,NONE,0,3
37001030017,288554,37001,3,1,37001,03030002,0303,136,231A,,1,2,56,0,230,0.28,0,VA0046,ORANGE,SIL,NON,6,10,NONE,0,3
37001030018,249201,37001,3,17,37001,03030002,0303,136,231A,,0,2,86,0,230,0.28,0,NC0018,CECIL,SL,NON,2,6,NONE,0,4
37001030019,250433,37001,3,17,37001,03030002,0303,136,231A,,0,2,56,0,230,0.24,0,NC0072,MECKLENBURG,L,NON,2,6,NONE,0,4
37001030020,249439,37001,3,18,37001,03030002,0303,136,231A,,0,2,56,0,230,0.32,0,NC0030,ENON,L,NON,2,6,NONE,0,3
