ST,STATE,STCNTY,COUNTY,FIPS,SVI
37,NORTH CAROLINA,37035,Catawba,37035011402,0.6668
37,NORTH CAROLINA,37035,Catawba,37035011501,0.1907
37,NORTH CAROLINA,37035,Catawba,37035011503,0.1208
37,NORTH CAROLINA,37035,Catawba,37035011504,0.0958
37,NORTH CAROLINA,37035,Catawba,37035011601,0.7163
37,NORTH CAROLINA,37035,Catawba,37035011602,0.5396
37,NORTH CAROLINA,37035,Catawba,37035011701,0.3711
37,NORTH CAROLINA,37035,Catawba,37035011702,0.3957
37,NORTH CAROLINA,37035,Catawba,37035011801,0.1004
37,NORTH CAROLINA,37035,Catawba,37035011802,0.6303
37,NORTH CAROLINA,37037,Chatham,37037020103,0.304
37,NORTH CAROLINA,37037,Chatham,37037020104,0.2365
37,NORTH CAROLINA,37037,Chatham,37037020105,0.087
37,NORTH CAROLINA,37037,Chatham,37037020106,0.0768
37,NORTH CAROLINA,37037,Chatham,37037020200,0.2573
37,NORTH CAROLINA,37037,Chatham,37037020300,0.5451
37,NORTH CAROLINA,37037,Chatham,37037020401,0.9463
37,NORTH CAROLINA,37037,Chatham,37037020402,0.9884
37,NORTH CAROLINA,37037,Chatham,37037020500,0.5743
37,NORTH CAROLINA,37037,Chatham,37037020600,0.5252
37,NORTH CAROLINA,37037,Chatham,37037020701,0.2527
37,NORTH CAROLINA,37037,Chatham,37037020702,0.3137
37,NORTH CAROLINA,37037,Chatham,37037020800,0.4429
37,NORTH CAROLINA,37039,Cherokee,37039930100,0.8181
37,NORTH CAROLINA,37039,Cherokee,37039930200,0.484
37,NORTH CAROLINA,37039,Cherokee,37039930300,0.5622
37,NORTH CAROLINA,37039,Cherokee,37039930400,0.64
37,NORTH CAROLINA,37039,Cherokee,37039930500,0.3452
37,NORTH CAROLINA,37039,Cherokee,37039930601,0.3031
37,NORTH CAROLINA,37039,Cherokee,37039930602,0.2258
37,NORTH CAROLINA,37041,Chowan,37041930101,0.7829999999999999
37,NORTH CAROLINA,37041,Chowan,37041930102,0.6603
37,NORTH CAROLINA,37041,Chowan,37041930200,0.5373
37,NORTH CAROLINA,37043,Clay,37043950100,0.2337
37,NORTH CAROLINA,37043,Clay,37043950200,0.54
37,NORTH CAROLINA,37045,Cleveland,37045950101,0.5775
37,NORTH CAROLINA,37045,Cleveland,37045950102,0.3522
37,NORTH CAROLINA,37045,Cleveland,37045950200,0.6233
37,NORTH CAROLINA,37045,Cleveland,37045950301,0.5368
37,NORTH CAROLINA,37045,Cleveland,37045950302,0.1925
37,NORTH CAROLINA,37045,Cleveland,37045950400,0.8922
37,NORTH CAROLINA,37045,Cleveland,37045950500,0.5641
37,NORTH CAROLINA,37045,Cleveland,37045950601,0.2772
37,NORTH CAROLINA,37045,Cleveland,37045950602,0.6826
37,NORTH CAROLINA,37045,Cleveland,37045950700,0.5946
37,NORTH CAROLINA,37045,Cleveland,37045950800,0.7839
37,NORTH CAROLINA,37045,Cleveland,37045950900,0.7992
37,NORTH CAROLINA,37045,Cleveland,37045951000,0.7362
37,NORTH CAROLINA,37045,Cleveland,37045951100,0.8917
37,NORTH CAROLINA,37045,Cleveland,37045951200,0.8987
37,NORTH CAROLINA,37045,Cleveland,37045951300,0.3512
37,NORTH CAROLINA,37045,Cleveland,37045951400,0.633
37,NORTH CAROLINA,37045,Cleveland,37045951501,0.4331
37,NORTH CAROLINA,37045,Cleveland,37045951502,0.5335
37,NORTH CAROLINA,37045,Cleveland,37045951503,0.5692
37,NORTH CAROLINA,37045,Cleveland,37045951601,0.6437
37,NORTH CAROLINA,37045,Cleveland,37045951602,0.615
37,NORTH CAROLINA,37047,Columbus,37047930100,0.7876
37,NORTH CAROLINA,37047,Columbus,37047930200,0.628
37,NORTH CAROLINA,37047,Columbus,37047930300,0.7705
37,NORTH CAROLINA,37047,Columbus,37047930400,0.7649
37,NORTH CAROLINA,37047,Columbus,37047930500,0.8607
37,NORTH CAROLINA,37047,Columbus,37047930600,0.6779
37,NORTH CAROLINA,37047,Columbus,37047930700,0.8107
37,NORTH CAROLINA,37047,Columbus,37047930800,0.4003
37,NORTH CAROLINA,37047,Columbus,37047930900,0.9829
37,NORTH CAROLINA,37047,Columbus,37047931000,0.7774
37,NORTH CAROLINA,37047,Columbus,37047931100,0.6543
37,NORTH CAROLINA,37047,Columbus,37047931200,0.7561
37,NORTH CAROLINA,37047,Columbus,37047931300,0.7256
37,NORTH CAROLINA,37049,Craven,37049960101,0.2503
37,NORTH CAROLINA,37049,Craven,37049960102,0.6594
37,NORTH CAROLINA,37049,Craven,37049960200,0.7691
37,NORTH CAROLINA,37049,Craven,37049960300,0.8311
37,NORTH CAROLINA,37049,Craven,37049960401,0.2184
37,NORTH CAROLINA,37049,Craven,37049960402,0.7682
37,NORTH CAROLINA,37049,Craven,37049960403,0.0153
37,NORTH CAROLINA,37049,Craven,37049960404,0.3156
37,NORTH CAROLINA,37049,Craven,37049960500,0.8732
37,NORTH CAROLINA,37049,Craven,37049960600,0.956
37,NORTH CAROLINA,37049,Craven,37049960700,0.4373
37,NORTH CAROLINA,37049,Craven,37049960800,0.9509
37,NORTH CAROLINA,37049,Craven,37049960900,0.8528
37,NORTH CAROLINA,37049,Craven,37049961001,0.1064
37,NORTH CAROLINA,37049,Craven,37049961002,0.7969
37,NORTH CAROLINA,37049,Craven,37049961100,0.2874
37,NORTH CAROLINA,37049,Craven,37049961201,0.1911
37,NORTH CAROLINA,37049,Craven,37049961202,0.2744
37,NORTH CAROLINA,37049,Craven,37049961301,0.503
37,NORTH CAROLINA,37049,Craven,37049961302,0.7492
37,NORTH CAROLINA,37049,Craven,37049961303,0.2814
37,NORTH CAROLINA,37051,Cumberland,37051000200,0.9968
37,NORTH CAROLINA,37051,Cumberland,37051000500,0.9593
37,NORTH CAROLINA,37051,Cumberland,37051000600,0.6890000000000001
37,NORTH CAROLINA,37051,Cumberland,37051000701,0.4146
37,NORTH CAROLINA,37051,Cumberland,37051000702,0.2962
37,NORTH CAROLINA,37051,Cumberland,37051000800,0.565
37,NORTH CAROLINA,37051,Cumberland,37051000900,0.4646
37,NORTH CAROLINA,37051,Cumberland,37051001000,0.9264
37,NORTH CAROLINA,37051,Cumberland,37051001100,0.8232
37,NORTH CAROLINA,37051,Cumberland,37051001200,0.9472
37,NORTH CAROLINA,37051,Cumberland,37051001400,0.9787
37,NORTH CAROLINA,37051,Cumberland,37051001500,0.7422
37,NORTH CAROLINA,37051,Cumberland,37051001601,0.7571
37,NORTH CAROLINA,37051,Cumberland,37051001603,0.9269
37,NORTH CAROLINA,37051,Cumberland,37051001604,0.8385
37,NORTH CAROLINA,37051,Cumberland,37051001700,0.8366
37,NORTH CAROLINA,37051,Cumberland,37051001800,0.7284
37,NORTH CAROLINA,37051,Cumberland,37051001901,0.7446
37,NORTH CAROLINA,37051,Cumberland,37051001902,0.7288
37,NORTH CAROLINA,37051,Cumberland,37051001903,0.8348
37,NORTH CAROLINA,37051,Cumberland,37051002001,0.4836
37,NORTH CAROLINA,37051,Cumberland,37051002002,0.8084
37,NORTH CAROLINA,37051,Cumberland,37051002100,0.541
37,NORTH CAROLINA,37051,Cumberland,37051002200,0.7899
37,NORTH CAROLINA,37051,Cumberland,37051002300,0.8413
37,NORTH CAROLINA,37051,Cumberland,37051002401,0.9736
37,NORTH CAROLINA,37051,Cumberland,37051002402,0.8121
37,NORTH CAROLINA,37051,Cumberland,37051002501,0.5294
37,NORTH CAROLINA,37051,Cumberland,37051002502,0.5655
37,NORTH CAROLINA,37051,Cumberland,37051002503,0.3623
37,NORTH CAROLINA,37051,Cumberland,37051002504,0.6229
37,NORTH CAROLINA,37051,Cumberland,37051002600,0.6571
37,NORTH CAROLINA,37051,Cumberland,37051002700,0.3299
37,NORTH CAROLINA,37051,Cumberland,37051002800,0.4789
37,NORTH CAROLINA,37051,Cumberland,37051002900,0.391
37,NORTH CAROLINA,37051,Cumberland,37051003001,0.4058
37,NORTH CAROLINA,37051,Cumberland,37051003002,0.6321
37,NORTH CAROLINA,37051,Cumberland,37051003102,0.4951
