ID,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Latitude,Longitude,Facility Type
81084,ELEC,Publix #1475,Winston-Salem,NC,27104,E,36.094603,-80.275497,GROCERY
81755,ELEC,CITY OF WILSON AMTRAK,Wilson,NC,27893,T,35.723772,-77.907757,
81756,ELEC,CITY OF WILSON POLICE LOT,Wilson,NC,27893,E,35.724962,-77.908933,
81839,ELEC,DUKEPTS RDG1,Durham,NC,27710,E,36.00702,-78.941262,
82104,ELEC,INTOWN SUITES CONCORD,Concord,NC,28027,T,35.371974,-80.709108,
82191,ELEC,GASTONIA 1555 E GARRISON,Gastonia,NC,28054,E,35.252107,-81.157763,
82222,ELEC,Maggie Valley - Town Hall,Maggie Valley,NC,28751,E,35.517156,-83.09442,MUNI_GOV
82513,ELEC,SANFORDEVHORNER 151 S HORNER 01,Sanford,NC,27330,E,35.479392,-79.179842,
82568,ELEC,SEC EVC COLISEUM 1,Greensboro,NC,27403,T,36.05778,-79.826559,
82601,ELEC,PIEDMONT EMC PEMC,Hillsborough,NC,27278,E,36.045546,-79.080706,
82603,ELEC,MUNICIPAL LOT GRANITE FALLS,Granite Falls,NC,28630,E,35.797815,-81.430339,
85655,ELEC,SAS Institute Inc - 940,Cary,NC,27513,E,35.820148,-78.798696,OFFICE_BLDG
85685,ELEC,Hot Springs Resort & Spa - Campground,Hot Springs,NC,28743,E,35.893472,-82.824906,CAMPGROUND
85767,ELEC,GASTON COUNTY PUBLIC HLTH DIV,Gastonia,NC,28052,T,35.234026,-81.204497,
85770,ELEC,PIEDMONT TRIAD COBLE TRANS CTR,Greensboro,NC,27409,E,36.093768,-79.95943,
85773,ELEC,WEST JEFFERSON WEST JEFFERSON,West Jefferson,NC,28694,E,36.402542,-81.489421,
85786,ELEC,Western Carolina University,Cullowhee,NC,28723,E,35.311874,-83.183414,COLLEGE_CAMPUS
85790,ELEC,ELM-MARSHALL ST GRAHAM,Graham,NC,27253,E,36.069424,-79.398463,
85948,ELEC,Ingles Market,Hendersonville,NC,28739,E,35.306469,-82.456078,GROCERY
85954,ELEC,Holiday Inn Express,Flat Rock,NC,28731,E,35.29856,-82.409937,HOTEL
85968,ELEC,Monroe Nissan,Indian Trail,NC,28110,E,35.060577,-80.631499,CAR_DEALER
85987,ELEC,SPECTRUM BLDG B2 1,Charlotte,NC,28202,E,35.225662,-80.845776,
86027,ELEC,Albemarle Corp,Charlotte,NC,28209,E,35.154231,-80.837508,OFFICE_BLDG
86063,ELEC,Duke Energy,Charlotte,NC,28202,E,35.225061,-80.849351,UTILITY
86064,ELEC,Duke Energy,Kings Mountain,NC,28086,E,35.236976,-81.414012,UTILITY
86066,ELEC,Duke Energy,Durham,NC,27705,E,36.035299,-78.973331,UTILITY
86067,ELEC,Duke Energy,Hickory,NC,28602,E,35.73312,-81.319387,UTILITY
86068,ELEC,Duke Energy,Charlotte,NC,28202,E,35.227182,-80.850301,UTILITY
86079,ELEC,Duke Energy,Charlotte,NC,28214,E,35.276037,-80.915771,UTILITY
86083,ELEC,Old Fort Chamber of Commerce,Old Fort,NC,28762,E,35.62786701117256,-82.18097640608215,MUNI_GOV
86104,ELEC,North Hills,Raleigh,NC,27609,E,35.835836,-78.642624,SHOPPING_CENTER
86120,ELEC,Duke Energy,Raleigh,NC,27601,E,35.774724,-78.640402,UTILITY
86121,ELEC,Duke Energy,Henderson,NC,27536,E,36.309215,-78.409358,UTILITY
86122,ELEC,Duke Energy,Jacksonville,NC,28540,E,34.803916,-77.4468,UTILITY
86123,ELEC,Duke Energy,Cary,NC,27511,E,35.773958,-78.803281,UTILITY
86124,ELEC,Duke Energy,Garner,NC,27529,E,35.71922,-78.629588,UTILITY
86125,ELEC,Duke Energy,Raleigh,NC,27603,E,35.7417,-78.642369,UTILITY
86126,ELEC,Duke Energy,Raleigh,NC,27616,E,35.884757,-78.564544,UTILITY
86127,ELEC,Duke Energy,Roxboro,NC,27573,E,36.390045,-79.000328,UTILITY
86129,ELEC,Duke Energy,Asheville,NC,28806,E,35.511376,-82.600756,UTILITY
86156,ELEC,Duke Energy,Salisbury,NC,28146,E,35.624893,-80.492531,UTILITY
86166,ELEC,Duke Energy,Raleigh,NC,27601,E,35.774838,-78.63743,UTILITY
86174,ELEC,Duke Energy,Wilmington,NC,28403,E,34.224815,-77.829645,UTILITY
86263,ELEC,City of Hendersonville - Azalea Parking Lot,Hendersonville,NC,28792,E,35.316047,-82.458795,PAY_LOT
